종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"0013P0","RISE 미국은행TOP10","11070","0","0.00","11116.67","11150","11150","11045","18366","203272637","16051500000","0","1450000","KEDI 미국 은행 TOP10 지수","2254.50","0.00","0.00"
"267440","RISE 미국장기국채선물(H)","8360","-60","-0.71","8359.02","8365","8365","8335","1132","9458250","5016000000","0","600000","S&P U.S. Treasury Bond Futures Excess Return Index","207.77","-0.40","-0.19"
"267490","RISE 미국장기국채선물레버리지(합성 H)","5470","-125","-2.23","5477.33","5490","5490","5450","10760","58736680","3829000000","0","700000","S&P U.S. Treasury Bond Futures Excess Return Index","207.77","-0.40","-0.19"
"267450","RISE 미국장기국채선물인버스(H)","10760","90","0.84","10783.75","0","0","0","0","0","5380000000","0","500000","S&P U.S. Treasury Bond Futures Excess Return Index","207.77","-0.40","-0.19"
"0036Z0","RISE 미국천연가스밸류체인","13610","280","2.10","13616.63","13810","13810","13460","36630","499349761","9527000000","0","700000","Solactive US Natural Gas Value Chain Index PR","1916.79","0.00","0.00"
"491620","RISE 미국테크100데일리고정커버드콜","10505","-95","-0.90","10526.41","10500","10540","10490","426314","4479808021","309897500000","0","29500000","KEDI 미국 테크100 90%참여+데일리옵션 프리미엄 지수(TR)","3897.78","0.00","0.00"
"0036R0","RISE 미국휴머노이드로봇","16405","-35","-0.21","16486.41","16480","16480","16360","62581","1027476312","100890750000","0","6150000","KEDI 미국 휴머노이드 로봇 지수(시장가격)","6211.35","0.00","0.00"
"0000Z0","RISE 바이오TOP10액티브","18055","-280","-1.53","18067.12","17985","18190","17940","234754","4242399493","80344750000","0","4450000","KRX 바이오 TOP 10 지수","2539.08","-45.66","-1.77"
"446700","RISE 배터리 리사이클링","12230","-310","-2.47","12233.21","12315","12410","12210","5379","66075788","15165200000","0","1240000","iSelect 배터리 리사이클링 지수","3230.55","-93.63","-2.82"
"475350","RISE 버크셔포트폴리오TOP10","14000","-145","-1.03","14060.75","14125","14125","13970","27362","383260957","70000000000","0","5000000","Solactive Berkshire Portfolio Top10 Index(PR)","2771.45","0.00","0.00"
"388420","RISE 비메모리반도체액티브","22875","-180","-0.78","22853.50","22325","23230","22295","165408","3775307003","212280000000","0","9280000","iSelect 비메모리반도체 지수(시장가격지수)","6664.96","-20.63","-0.31"
"448630","RISE 삼성그룹Top3채권혼합","13655","-165","-1.19","13667.43","13645","13795","13640","498117","6823912224","255348500000","0","18700000","Bloomberg Blended Samsung Group Fixed Top 3 Equity and Korean Bond Index","2445.07","-26.73","-1.08"
"0162Z0","RISE 삼성전자SK하이닉스채권혼합50","10380","-205","-1.94","10376.72","10330","10495","10325","7310935","75924853719","539760000000","0","52000000","KAP 삼성전자SK하이닉스채권혼합50 지수","3047.72","-59.49","-1.91"
"367770","RISE 수소경제테마","25165","-270","-1.06","25099.88","25000","25410","24875","51647","1296567818","148473500000","0","5900000","FnGuide 수소 경제 테마 지수","3158.56","-63.99","-1.99"
"140570","RISE 수출주","22900","-220","-0.95","22882.88","22850","23225","22725","374","8593965","9160000000","0","400000","MKF 수출주 지수","22706.51","-373.84","-1.62"
